id,id_2,is_complete
1014000,-1,False
1014002,-1,False
1014003,-1,False
1030000,-1,False
1030000,1030002,False
1030000,1030004,False
1030000,1030006,False
1030000,1030008,False
1030000,1030010,False
1030000,1030012,False
1030000,1030014,False
1030000,1030016,False
1030000,1030018,False
1030000,1030020,False
1030000,1030022,False
1030000,1030024,False
1030000,1030026,False
1030000,1030028,False
1030000,1030030,False
1030000,1030032,False
1030000,1030034,False
1030000,1030036,False
1030000,1030040,False
1030000,1030042,False
1030000,1030044,False
1030000,1030046,False
1030000,1030048,False
1030000,1030050,False
1030000,1030052,False
1030000,1030054,False
1030000,1030056,False
1030000,1030058,False
1030000,1030060,False
1030000,1030062,False
1030000,1030064,False
1030000,1030066,False
1030000,1030068,False
1030000,1030070,False
1030000,1030072,False
1030000,1030074,False
1030000,1030076,False
1030000,1030078,False
1030000,1030080,False
1030000,1031002,False
1030000,1031004,False
1030000,1031006,False
1030000,1031008,False
1030000,1031010,False
1030000,1031012,False
1030000,1031014,False
1030000,1031016,False
1030000,1031018,False
1030000,1031020,False
1030000,1031022,False
1030000,1031024,False
1030000,1031026,False
1030000,1031028,False
1030000,1031030,False
1030000,1031032,False
1030002,-1,False
1030002,1030000,False
1030002,1030004,False
1030002,1030006,False
1030002,1030008,False
1030002,1030010,False
1030002,1030012,False
1030002,1030014,False
1030002,1030016,False
1030002,1030018,False
1030002,1030020,False
1030002,1030022,False
1030002,1030024,False
1030002,1030026,False
1030002,1030028,False
1030002,1030030,False
1030002,1030032,False
1030002,1030034,False
1030002,1030036,False
1030002,1030040,False
1030002,1030042,False
1030002,1030044,False
1030002,1030046,False
1030002,1030048,False
1030002,1030050,False
1030002,1030052,False
1030002,1030054,False
1030002,1030056,False
1030002,1030058,False
1030002,1030060,False
1030002,1030062,False
1030002,1030064,False
1030002,1030066,False
1030002,1030068,False
1030002,1030070,False
1030002,1030072,False
1030002,1030074,False
1030002,1030076,False
1030002,1030078,False
1030002,1030080,False
1030002,1031002,False
1030002,1031004,False
1030002,1031006,False
1030002,1031008,False
1030002,1031010,False
1030002,1031012,False
1030002,1031014,False
1030002,1031016,False
1030002,1031018,False
1030002,1031020,False
1030002,1031022,False
1030002,1031024,False
1030002,1031026,False
1030002,1031028,False
1030002,1031030,False
1030002,1031032,False
1030004,-1,False
1030004,1030000,False
1030004,1030002,False
1030004,1030006,False
1030004,1030008,False
1030004,1030010,False
1030004,1030012,False
1030004,1030014,False
1030004,1030016,False
1030004,1030018,False
1030004,1030020,False
1030004,1030022,False
1030004,1030024,False
1030004,1030026,False
1030004,1030028,False
1030004,1030030,False
1030004,1030032,False
1030004,1030034,False
1030004,1030036,False
1030004,1030040,False
1030004,1030042,False
1030004,1030044,False
1030004,1030046,False
1030004,1030048,False
1030004,1030050,False
1030004,1030052,False
1030004,1030054,False
1030004,1030056,False
1030004,1030058,False
1030004,1030060,False
1030004,1030062,False
1030004,1030064,False
1030004,1030066,False
1030004,1030068,False
1030004,1030070,False
1030004,1030072,False
1030004,1030074,False
1030004,1030076,False
1030004,1030078,False
1030004,1030080,False
1030004,1031002,False
1030004,1031004,False
1030004,1031006,False
1030004,1031008,False
1030004,1031010,False
1030004,1031012,False
1030004,1031014,False
1030004,1031016,False
1030004,1031018,False
1030004,1031020,False
1030004,1031022,False
1030004,1031024,False
1030004,1031026,False
1030004,1031028,False
1030004,1031030,False
1030004,1031032,False
1030006,-1,False
1030006,1030000,False
1030006,1030002,False
1030006,1030004,False
1030006,1030008,False
1030006,1030010,False
1030006,1030012,False
1030006,1030014,False
1030006,1030016,False
1030006,1030018,False
1030006,1030020,False
1030006,1030022,False
1030006,1030024,False
1030006,1030026,False
1030006,1030028,False
1030006,1030030,False
1030006,1030032,False
1030006,1030034,False
1030006,1030036,False
1030006,1030040,False
1030006,1030042,False
1030006,1030044,False
1030006,1030046,False
1030006,1030048,False
1030006,1030050,False
1030006,1030052,False
1030006,1030054,False
